Offense Type,Premise,BlockRange,StreetName,Type
AutoTheft,"Road, Street, or Sidewalk",2500-2599,SAN JACINTO,ST
Theft,Apartment Parking Lot,3000-3099,AUSTIN,ST
Theft,Service or Gas Station,3800-3899,SAN JACINTO,ST
Theft,Other Parking Lot,2600-2699,FANNIN,ST
Theft,"Road, Street, or Sidewalk",3500-3599,CRAWFORD,RD
Theft,Convenience Store,1000-1099,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",2500-2599,SAN JACINTO,ST
Theft,Light Rail (Metro Rail) Vehicle,4500-4599,MAIN,ST
Robbery,Convenience Store,2100-2199,FANNIN,ST
Burglary,Apartment,4500-4599,TRAVIS,ST
Theft,Service or Gas Station,3800-3899,SAN JACINTO,ST
Theft,Convenience Store Parking Lot,1000-1099,ELGIN,ST
Theft,"Road, Street, or Sidewalk",3600-3699,TRAVIS,ST
Theft,Bar or Night Club,1500-1599,ALABAMA,ST
Theft,Apartment Parking Lot,3600-3699,CHENEVERT,ST
Theft,"Road, Street, or Sidewalk",1000-1099,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",1500-1599,WINBERN,-
Burglary,Restaurant or Cafeteria,2700-2799,MILAM,-
Theft,Construction Site,2700-2799,TRAVIS,ST
Theft,"Road, Street, or Sidewalk",2200-2299,AUSTIN,ST
Theft,Other Parking Lot,2200-2299,CAROLINE,ST
Theft,Apartment Parking Lot,3600-3699,CHENEVERT,ST
Theft,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-
Theft,Other Parking Lot,1000-1099,BERRY,ST
Theft,Commercial Parking Lot or Garage,2400-2499,CAROLINE,ST
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Theft,Strip Business Center Parking Lot,2200-2299,AUSTIN,ST
Aggravated Assault,Convenience Store Parking Lot,400-499,RICHMOND,AVE
Theft,"Road, Street, or Sidewalk",1500-1599,ALABAMA,ST
Theft,Other Parking Lot,3800-3899,MAIN,ST
Theft,"Road, Street, or Sidewalk",3600-3699,FANNIN,ST
Theft,"Road, Street, or Sidewalk",800-899,HOLMAN,-
Theft,Service or Gas Station,2100-2199,FANNIN,ST
Theft,"Road, Street, or Sidewalk",2500-2599,FANNIN,ST
Theft,"Road, Street, or Sidewalk",2400-2499,CAROLINE,ST
Robbery,"Parks and Recreation, Zoo, Swimming Pool",2100-2199,MAIN,ST
Theft,"Road, Street, or Sidewalk",3600-3699,MAIN,ST
Theft,Residence or House,1500-1599,FRANCIS,ST
Theft,"Road, Street, or Sidewalk",3600-3699,CHENEVERT,ST
Theft,"Road, Street, or Sidewalk",800-899,BERRY,ST
Theft,"Road, Street, or Sidewalk",1500-1599,FRANCIS,ST
Theft,"Road, Street, or Sidewalk",2400-2499,LOUISIANA,ST
Theft,Restaurant or Cafeteria Parking Lot,2800-2899,CAROLINE,ST
Robbery,Bus Station,2100-2199,MAIN,ST
Theft,Restaurant or Cafeteria,2600-2699,TRAVIS,-
Aggravated Assault,"Road, Street, or Sidewalk",2900-2999,TRAVIS,ST
Theft,"Road, Street, or Sidewalk",2500-2599,TRAVIS,ST
Theft,"Road, Street, or Sidewalk",2200-2299,CAROLINE,ST
Theft,"Road, Street, or Sidewalk",4200-4299,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",1100-1199,MCILHENNY,ST
