Offense Type,Beat,Premise,BlockRange,StreetName,Type
Theft,10H40,Residence or House,1800-1899,DREW,ST
Auto Theft,10H40,"Road, Street, or Sidewalk",2600-2699,CAROLINE,ST
Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",3200-3299,LOUISIANA,ST
Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-
Theft,10H40,,2100-2199,LOUISIANA,ST
Theft,10H40,"Road, Street, or Sidewalk",3600-3699,MILAM,-
Theft,10H40,"Road, Street, or Sidewalk",700-799,BERRY,ST
Theft,10H40,Service or Gas Station,2100-2199,FANNIN,ST
Robbery,10H40,"Road, Street, or Sidewalk",900-999,WEBSTER,ST
Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,ST
Theft,10H40,"Road, Street, or Sidewalk",1000-1099,GRAY,ST
Theft,10H40,Rehabilitation Center,2600-2699,CAROLINE,ST
Theft,10H40,"Gym, Recreat, Club House, Indoor Pool, Spa",3200-3299,LOUISIANA,ST
Robbery,10H40,Service or Gas Station,3800-3899,SAN JACINTO,ST
Theft,10H40,"Road, Street, or Sidewalk",800-899,WINBERN,-
Theft,10H40,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,10H40,Drug Store or Medical Supply,1000-1099,ELGIN,ST
Theft,10H50,Other Parking Lot,2000-2099,GRAY,ST
Aggravated Assault,10H50,"Road, Street, or Sidewalk",3300-3399,BREMOND,ST
Theft,10H50,Miscellaneous Business (Non-Specific),3300-3399,MCGOWEN,ST
Theft,10H50,"Church, Synagogue, or Temple",3400-3499,HADLEY,ST
Burglary,10H50,Residence or House,2100-2199,HOLMAN,-
Robbery,10H50,"Road, Street, or Sidewalk",3300-3399,WINBERN,-
Murder,10H50,"Road, Street, or Sidewalk",2400-2499,TRUXILLO,-
Robbery,10H50,"Road, Street, or Sidewalk",3500-3599,SCOTT,ST
Theft,10H50,"Road, Street, or Sidewalk",3900-3999,DOWLING,ST
Aggravated Assault,10H50,Residence or House,3400-3499,SIMMONS,-
Robbery,10H50,"Road, Street, or Sidewalk",3400-3499,ANITA,ST
Aggravated Assault,10H50,Condominium,2100-2199,HOLMAN,-
Theft,10H50,Convenience Store,3200-3299,BURKETT,ST
Robbery,10H50,"Road, Street, or Sidewalk",2900-2999,TRUXILLO,-
Theft,10H50,Residence or House,3500-3599,SAINT CHARLES,-
Theft,10H50,"Road, Street, or Sidewalk",3400-3499,MCILHENNY,ST
Auto Theft,10H50,Convenience Store Parking Lot,3200-3299,TRUXILLO,-
Theft,10H50,Residence or House,2300-2399,ALABAMA,ST
Auto Theft,10H50,"Road, Street, or Sidewalk",2600-2699,TRUXILLO,-
Theft,10H50,"Road, Street, or Sidewalk",3400-3499,SCOTT,ST
Robbery,10H50,"Road, Street, or Sidewalk",3800-3899,DELANO,-
Theft,10H50,"Road, Street, or Sidewalk",3700-3799,PALMER,-
Theft,10H50,Apartment,3300-3399,ALABAMA,ST
Theft,10H50,Construction Site,2000-2099,MCGOWEN,ST
Robbery,10H50,Convenience Store,2600-2699,ALABAMA,ST
Auto Theft,10H50,"Road, Street, or Sidewalk",2700-2799,SCOTT,ST
Robbery,10H50,Residence or House,3600-3699,MCGOWEN,ST
Rape,10H50,Apartment Parking Lot,4000-4099,WHEELER,ST
Auto Theft,10H50,"Road, Street, or Sidewalk",2500-2599,SAMPSON,-
Theft,10H50,University or College,4800-4899,CALHOUN,RD
Burglary,10H50,Residence or House,2700-2799,ROSALIE,-
