Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,Miscellaneous Business (Non-Specific),4400-4499,SAN JACINTO,ST
Theft,"Road, Street, or Sidewalk",700-799,ROSALIE,-
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,Other Parking Lot,1700-1799,ELGIN,ST
Robbery,"Road, Street, or Sidewalk",1300-1399,GRAY,ST
Theft,"Road, Street, or Sidewalk",2600-2699,CAROLINE,ST
Theft,"Road, Street, or Sidewalk",1300-1399,MCILHENNY,ST
Theft,Grocery Store or Supermarket,2200-2299,LOUISIANA,ST
Theft,"Road, Street, or Sidewalk",1400-1499,ISABELLA,-
Theft,"Road, Street, or Sidewalk",1400-1499,HOLMAN,-
Theft,"Road, Street, or Sidewalk",3200-3299,LOUISIANA,ST
Auto Theft,"Road, Street, or Sidewalk",3000-3099,CHENEVERT,-
Theft,"Multi-Plex Home (Duplex,Triplex Etc.)",1400-1499,MCILHENNY,ST
Theft,"Road, Street, or Sidewalk",2200-2299,AUSTIN,ST
Theft,"Road, Street, or Sidewalk",3900-3999,LA BRANCH,-
Theft,"Road, Street, or Sidewalk",1600-1699,STUART,-
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,WEBSTER,ST
Theft,Apartment,3300-3399,ALABAMA,ST
Theft,Residence or House,3000-3099,ANITA,ST
Theft,"Road, Street, or Sidewalk",2100-2199,NETTLETON,-
Theft,"Road, Street, or Sidewalk",2300-2399,MCILHENNY,ST
Theft,Vacant Restaurant,3800-3899,ENNIS,ST
Theft,"Church, Synagogue, or Temple Parking Lot",2100-2199,SAINT EMANUEL,ST
Aggravated Assault,"Road, Street, or Sidewalk",2500-2599,SAMPSON,-
Theft,Convenience Store,3800-3899,DELANO,-
Robbery,"Road, Street, or Sidewalk",3700-3799,TIERWESTER,-
Theft,Residence or House,3000-3099,WEBSTER,ST
Theft,Other Parking Lot,3100-3199,DELANO,-
Theft,"Libraries, Museums",3600-3699,SCOTT,ST
Robbery,"Road, Street, or Sidewalk",2600-2699,CALLIE,ST
Theft,"Other, Unknown, or Not Listed",3700-3799,SCOTT,ST
Auto Theft,"Road, Street, or Sidewalk",3700-3799,TIERWESTER,-
Theft,,3900-3999,DENNIS,ST
Theft,"Road, Street, or Sidewalk",3500-3599,GULF,FWY
Aggravated Assault,"Road, Street, or Sidewalk",2600-2699,LIVE OAK,-
Theft,"Road, Street, or Sidewalk",3500-3599,NAGLE,-
Burglary,Private School,3200-3299,HADLEY,ST
Aggravated Assault,Residence or House,2200-2299,SAINT EMANUEL,ST
Theft,Driveway,2600-2699,ISABELLA,-
Robbery,Grocery Store or Supermarket Parking Lot,3000-3099,SCOTT,ST
Aggravated Assault,Residence or House,3200-3299,MCGOWEN,ST
Aggravated Assault,Residence or House,2800-2899,SAMPSON,-
Theft,Other Parking Lot,3700-3799,HOLMAN,-
Theft,Commercial Parking Lot or Garage,3000-3099,TRULEY,-
Burglary,Residence or House,2800-2899,BERRY,ST
Theft,Commercial Building,2600-2699,CALLIE,ST
Murder,"Road, Street, or Sidewalk",3000-3099,BRAILSFORT,-
Aggravated Assault,Residence or House,2200-2299,NAGLE,-
Theft,Commercial Building,UNK,PIERCE,-
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,ANITA,ST
Burglary,Residence or House,3200-3299,LIVE OAK,-
Theft,"Vacant Single Occ Resd(House,Townhs,Dplex)",3500-3599,BASTROP,ST
Theft,"Theatres, Dinner Theaters, Auditoriums",4800-4899,CALHOUN,RD
Theft,Other Parking Lot,3500-3599,DOWLING,ST
Theft,Driveway,2100-2199,LIVE OAK,-
Aggravated Assault,"Road, Street, or Sidewalk",2000-2099,DOWLING,ST
Robbery,Convenience Store,3000-3099,SCOTT,ST
Aggravated Assault,Residence or House,3300-3399,FRANCIS,ST
Theft,Apartment Parking Lot,3200-3299,TRUXILLO,-
Theft,Service or Gas Station,4000-4099,GULF,FWY
Aggravated Assault,"Road, Street, or Sidewalk",3700-3799,DREW,ST
Auto Theft,"Other, Unknown, or Not Listed",3700-3799,BURKETT,ST
Theft,"Other, Unknown, or Not Listed",2500-2599,LIVE OAK,-
Theft,Apartment Parking Lot,3200-3299,TRUXILLO,-
Aggravated Assault,"Multi-Plex Home (Duplex,Triplex Etc.)",2600-2699,CLEBURNE,ST
Theft,Miscellaneous Business (Non-Specific),3200-3299,GULF,FWY
Burglary,Apartment,3200-3299,TRUXILLO,-
Theft,"Church, Synagogue, or Temple Parking Lot",2400-2499,HOLMAN,-
Aggravated Assault,Residence or House,2400-2499,SAMPSON,-
Theft,Residence or House,3300-3399,MCGOWEN,ST
Aggravated Assault,Residence or House,2600-2699,BRILEY,ST
Auto Theft,"Road, Street, or Sidewalk",3500-3599,DREW,ST
Theft,Miscellaneous Business (Non-Specific),3600-3699,BRILEY,ST
Theft,Miscellaneous Business (Non-Specific),3700-3799,SCOTT,ST
Theft,Residence or House,3700-3799,BREMOND,ST
Theft,"Road, Street, or Sidewalk",2700-2799,CANFIELD,ST
Theft,Commercial Parking Lot or Garage,3700-3799,HOLMAN,-
Theft,Residence or House,2200-2299,HUTCHINS,-
Burglary,Residence or House,2100-2199,SAINT CHARLES,-
Theft,"Hotel, Motel, Inn, Etc.",2500-2599,SAMPSON,-
Aggravated Assault,Residence or House,3900-3999,TUAM,-
Theft,Apartment Parking Lot,2300-2399,TUAM,-
Robbery,Bar or Night Club,2600-2699,SCOTT,ST
Theft,Residence or House,2100-2199,HOLMAN,-
Burglary,Residence or House,3900-3999,TUAM,-
Murder,"Road, Street, or Sidewalk",3100-3199,ANITA,ST
Theft,"Road, Street, or Sidewalk",2300-2399,PIERCE,ST
Theft,Residence or House,UNK,HOLMAN,-
Aggravated Assault,Residence or House,2700-2799,TRUXILLO,-
Theft,Driveway,2100-2199,BERRY,ST
Robbery,Restaurant or Cafeteria,4000-4099,ELGIN,ST
Theft,"Church, Synagogue, or Temple Parking Lot",3400-3499,ANITA,ST
