Offense Type,Premise,BlockRange,StreetName,Type
Theft,Bar or Night Club,2300-2399,MAIN ST,ST
Burglary,Apartment,26700-26799,WESTWOOD,DR
Theft,"Road, Street, or Sidewalk",1400-1499,GRAY ST,ST
Theft,"Road, Street, or Sidewalk",2500-2599,BOLSOVER,ST
Theft,"Road, Street, or Sidewalk",1400-1499,HADLEY ST,ST
Robbery,Convenience Store Parking Lot,11600-11699,JASPER DRIVE,-
Burglary,Rental Storage Facility,2300-2399,LOUISIANA ST,ST
Theft,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,Bar or Night Club,2300-2399,MAIN ST,ST
Theft,Residence or House,2400-2499,CHENEVERT ST,ST
Theft,"Road, Street, or Sidewalk",2900-2999,CHENEVERT ST,ST
Theft,Apartment,1300-1399,ISABELLA,-
Theft,"Road, Street, or Sidewalk",3700-3799,LA BRANCH,-
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",4300-4399,CAROLINE ST,ST
Theft,Commercial Parking Lot or Garage,16600-16699,COTTONWOOD CIRCLE,-
Theft,Grocery Store or Supermarket,6800-6899,KNOLL,-
Robbery,"Road, Street, or Sidewalk",6500-6599,HOLLISTER,ST
Theft,Residence or House,3100-3199,AUSTIN ST,ST
Theft,"Road, Street, or Sidewalk",6300-6399,AMELIA SPRINGS,-
Robbery,Bus Station,4300-4399,BISSONNET,-
Theft,Bar or Night Club,2600-2699,TRAVIS ST,ST
Theft,Bar or Night Club,2600-2699,TRAVIS,-
Theft,"Road, Street, or Sidewalk",3800-3899,DACOMA,ST
Theft,Bar or Night Club Parking Lot,2600-2699,MILAM,-
Theft,Bus Station,4500-4599,MAIN ST,ST
Theft,Bar or Night Club,2100-2199,CHENEVERT ST,ST
Robbery,Commercial Building,6900-6999,BRETON BAY,PASS
Aggravated Assault,Service or Gas Station,2100-2199,FANNIN ST,ST
Robbery,"Road, Street, or Sidewalk",1700-1799,ELGIN ST,ST
