Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,Light Rail Platform,3500-3599,MAIN ST,ST
Theft,"Road, Street, or Sidewalk",3200-3299,TRAVIS ST,ST
Theft,Department or Discount Store,2800-2899,LIVE OAK,-
Murder,"Field, Woods, Forest, Park",1200-1299,WHEELER ST,ST
Theft,"Road, Street, or Sidewalk",1800-1899,GRAY ST,ST
Theft,"Road, Street, or Sidewalk",1700-1799,GRAY ST,ST
Robbery,"Road, Street, or Sidewalk",2500-2599,SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",1000-1099,MCGOWEN ST,ST
Aggravated Assault,"Theatres, Dinner Theaters, Auditoriums",3400-3499,MAIN ST,ST
Burglary,Office Building,2500-2599,SAN JACINTO,ST
Robbery,Bus Stop,4500-4599,MAIN ST,ST
Theft,Garage or Carport,2700-2799,TRAVIS ST,ST
Theft,Miscellaneous Business (Non-Specific),3300-3399,AUSTIN ST,ST
Theft,Commercial Parking Lot or Garage,3200-3299,OAKDALE STREET,-
Theft,Residence or House,3500-3599,CHENEVERT ST,ST
Theft,"Road, Street, or Sidewalk",1100-1199,MCILHENNY ST,ST
Theft,"Road, Street, or Sidewalk",2600-2699,FANNIN ST,ST
Theft,"Road, Street, or Sidewalk",900-999,STUART,-
Robbery,Bus Station,2100-2199,UNKNOWN,-
Theft,"Road, Street, or Sidewalk",3300-3399,TRAVIS ST,ST
Theft,Office Building,2100-2199,TRAVIS,ST
Theft,Restaurant or Cafeteria Parking Lot,2600-2699,SAN JACINTO ST,ST
Theft,"Road, Street, or Sidewalk",3200-3299,TRAVIS ST,ST
Theft,"Road, Street, or Sidewalk",8800-8899,LAKESHORE TERRACE,DR
Theft,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-
Theft,"Road, Street, or Sidewalk",3100-3199,MILAM,-
Theft,"Road, Street, or Sidewalk",3300-3399,MILAM,-
Theft,"Road, Street, or Sidewalk",1500-1599,TRUXILLO,-
Aggravated Assault,"Road, Street, or Sidewalk",UNK,WHEELER ST /CAROLINE ST,ST
Theft,Bus Station,6600-6699,AVENUE K,-
Theft,Bar or Night Club,2700-2799,MILAM,-
Theft,Bus Station,2100-2199,MAIN,ST
Theft,"Road, Street, or Sidewalk",2200-2299,ELDRIDGE,PKWY
Robbery,Convenience Store Parking Lot,2100-2199,FANNIN ST,ST
Theft,Commercial Parking Lot or Garage,2200-2299,CRAWFORD ST,ST
Theft,Bar or Night Club Parking Lot,3300-3399,MILAM,-
Aggravated Assault,Apartment,1300-1399,ANITA,ST
Theft,"Road, Street, or Sidewalk",2300-2399,TRAVIS ST,ST
AutoTheft,"Road, Street, or Sidewalk",2100-2199,TRAVIS ST,ST
Theft,Apartment Parking Lot,800-899,ALABAMA ST,ST
Aggravated Assault,Bar or Night Club,2600-2699,TRAVIS ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",200-299,BUSTER HOLCOMB,DR
Theft,"Road, Street, or Sidewalk",3700-3799,FANNIN ST,ST
Theft,Other Parking Lot,1700-1799,WINBERN,-
Aggravated Assault,Barber And Beauty Shops,4200-4299,CAROLINE ST,ST
Theft,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-
Theft,"Road, Street, or Sidewalk",2500-2599,FANNIN ST,ST
Theft,Strip Business Center Parking Lot,3200-3299,MILAM,-
Robbery,Specialty Store (Non-Specific),4200-4299,CAROLINE,ST
Rape,Not Listed,14600-14699,ELLA,BLVD
Rape,Residence or House,3300-3399,TUAM,-
Aggravated Assault,Apartment,3200-3299,TRUXILLO,-
Robbery,Residence or House,5500-5599,GASMER,-
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,TIERWESTER,-
Robbery,"Road, Street, or Sidewalk",3700-3799,ROSALIE,-
AutoTheft,"Road, Street, or Sidewalk",600-699,SAM HOUSTON,PKWY
Burglary,Commercial Building,2400-2499,FRANCIS,ST
Theft,Bus Stop,3100-3199,SCOTT ST,ST
Robbery,"Road, Street, or Sidewalk",3000-3099,MCGOWEN ST,ST
Theft,Residence or House,2800-2899,HOLMAN,ST
Theft,Convenience Store,3100-3199,ALABAMA,ST
AutoTheft,"Road, Street, or Sidewalk",2600-2699,MCGOWEN ST,ST
Burglary,Residence or House,2900-2999,ISABELLA,ST
AutoTheft,"Road, Street, or Sidewalk",2600-2699,MCGOWEN ST,ST
Theft,"Road, Street, or Sidewalk",2600-2699,MCGOWEN ST,ST
Robbery,Restaurant or Cafeteria,3700-3799,SCOTT,ST
Theft,Residence or House,4600-4699,HOWARD LANE - SUITE 200,-
Burglary,Vacant Restaurant,3700-3799,SCOTT,ST
Aggravated Assault,Residence or House,2900-2999,DREW ST,ST
Aggravated Assault,Apartment,2400-2499,BASTROP ST,ST
Aggravated Assault,Apartment,2800-2899,WINBERN,-
Aggravated Assault,Residence or House,2100-2199,TRUXILLO,-
AutoTheft,Service or Gas Station,3100-3199,NAPOLEON,-
Burglary,"Vacant Other Residential (Apartment,Dorms)",2900-2999,ISABELLA,ST
Theft,"Road, Street, or Sidewalk",3800-3899,FOTNER,-
AutoTheft,"Road, Street, or Sidewalk",6200-6299,ALDER DR APT,-
Theft,Apartment Parking Lot,2900-2999,LUCINDA,-
Theft,"Stadium, Sports Arena, Race Track",3800-3899,HOLMAN,-
Aggravated Assault,"Road, Street, or Sidewalk",2300-2399,ALABAMA STREET APT 7,-
Aggravated Assault,Convenience Store,2700-2799,SCOTT,ST
Theft,"Road, Street, or Sidewalk",3500-3599,NAPOLEON,ST
Theft,Residence or House,3000-3099,NAGLE,-
Theft,"Road, Street, or Sidewalk",2100-2199,MCGOWEN ST,ST
Aggravated Assault,Convenience Store,2400-2499,SOUTHMORE,-
Robbery,"Road, Street, or Sidewalk",2500-2599,MCGOWEN ST,ST
Theft,"Road, Street, or Sidewalk",3600-3699,ROSALIE 1/2,-
Burglary,Residence or House,6200-6299,ANNUCIATION,-
Theft,Residence or House,2700-2799,ROSALIE,-
Aggravated Assault,Convenience Store Parking Lot,2600-2699,ALABAMA,ST
Aggravated Assault,"Road, Street, or Sidewalk",3700-3799,NAGLE,-
Burglary,Residence or House,3500-3599,OLD HOLLY DRIVE,-
Burglary,Miscellaneous Business (Non-Specific),2000-2099,EMANCIPATION,AVE
Aggravated Assault,"Road, Street, or Sidewalk",6800-6899,DRIFTWOOD,-
Burglary,Apartment,3200-3299,TRUXILLO,-
Robbery,"Road, Street, or Sidewalk",13500-13599,PARKSTONE VIEW CIRCLE,-
Robbery,"Road, Street, or Sidewalk",3300-3399,MCGOWEN ST,ST
Burglary,Convenience Store,3200-3299,TRUXILLO,-
