Offense Type,Premise,BlockRange,StreetName,Type
Robbery,Convenience Store,3800-3899,OLD SPANISH,TRL
Theft,Residence or House,2200-2299,BARBEE,ST
Theft,Residence or House,3800-3899,ROSEDALE,-
Theft,Residence or House,5900-5999,SCOTT ST,ST
Burglary,Apartment,5100-5199,SAMPSON,-
Aggravated Assault,Bar or Night Club,9600-9699,FOREST LN APT 1009,-
Robbery,"Road, Street, or Sidewalk",8800-8899,HAMMERLY,BLVD
Burglary,Residence or House,3600-3699,P O BOX 8203,-
Theft,Train (Not Metro) Terminal,6000-6099,ARDMORE ST,ST
Theft,Driveway,2500-2599,WENTWORTH ST,ST
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,6300-6399,DEL RIO ST,ST
Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,2500-2599,BLODGETT ST,ST
Rape,Residence or House,6600-6699,FANNIN ST IB,-
Rape,Residence or House,4000-4099,WEST BELLFORT,-
Aggravated Assault,Residence or House,6800-6899,ARDMORE,ST
Theft,Department or Discount Store,1100-1199,SILBER,RD
Theft,Commercial Parking Lot or Garage,100-199,IDAHO,ST
Aggravated Assault,Apartment,6400-6499,FANNIN ST,ST
Theft,Driveway,6800-6899,STAFFORDSHIRE,-
Theft,Hospital Parking Lot,1200-1299,HERMANN DR,-
Theft,Hospital Parking Lot,1300-1399,HERMANN,DR
Theft,Other Parking Lot,1500-1599,HERMANN,DR
Theft,Other Parking Lot,3200-3299,ARBOR STREET,-
Theft,Garage or Carport,6100-6199,MAIN,ST
Theft,Other Parking Lot,4800-4899,BRINKLEY,ST
Theft,Hospital Parking Lot,5700-5799,CAROLINE ST,ST
Burglary,Restaurant or Cafeteria,3200-3299,HOLCOMBE,BLVD
Rape,"Road, Street, or Sidewalk",2000-2099,PALMETTO GLEN,-
Theft,"Gym, Recreat, Club House, Indoor Pool",3100-3199,HOLCOMBE BLVD,BLVD
Theft,Laundry or Dry Cleaners Parking Lot,5300-5399,ALMEDA RD,RD
Theft,Apartment Parking Lot,1600-1699,HERMANN DR,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",1700-1799,BERETTA,PL
Theft,Hospital,6500-6599,BERTNER AVE,-
Theft,Hospital Parking Lot,1500-1599,TAUB LP,-
AutoTheft,Hospital Parking Lot,2500-2599,JOEL WEATON,-
Theft,Commercial Parking Lot or Garage,1500-1599,2 OAKDALE,ST
Theft,Other Parking Lot,10800-10899,RICHMOND,AVE
Theft,"Hotel, Motel, Inn, Etc.",UNK,EWING ST/FANNIN ST,ST
Theft,"Gym, Recreat, Club House, Indoor Pool",2100-2199,HOLCOMBE BLVD,BLVD
Theft,"Field, Woods, Forest, Park",1300-1399,UPLAND DRIVE SUITE 1933,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",6000-6099,FANNIN ST,ST
Rape,Private School,16800-16899,SEDONA SPRINGS LANE,-
Theft,Hospital,6500-6599,FANNIN ST,ST
Theft,Office Building,4400-4499,CAROLINE,ST
Theft,Residence or House,5500-5599,ALMEDA,RD
AutoTheft,Other Parking Lot,1500-1599,HERMANN DR,-
Theft,Hospital,1500-1599,TAUB LP,-
Theft,Apartment Parking Lot,6300-6399,ALMEDA RD,RD
AutoTheft,"Road, Street, or Sidewalk",1000-1099,OAKDALE,-
Rape,Bar or Night Club Parking Lot,8300-8399,BRIAR FOREST,ST
Theft,Apartment Parking Lot,6300-6399,ALMEDA RD,RD
Theft,Residence or House,1800-1899,PALM,-
Theft,Residence or House,6400-6499,FANNIN ST,ST
Theft,Other Parking Lot,6200-6299,HERMANN PARK DR,-
Theft,Hospital Parking Lot,6600-6699,FANNIN ST,ST
Theft,Bus Stop,6500-6599,FANNIN ST,ST
Theft,Apartment Parking Lot,8500-8599,ATASCOCITA LAKE,WAY
Aggravated Assault,Service or Gas Station,6400-6499,FANNIN ST,ST
Theft,Commercial Parking Lot or Garage,2100-2199,N MACGREGOR WAY,-
Theft,Other Parking Lot,5100-5199,ALMEDA RD,RD
