Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,"Road, Street, or Sidewalk",3700-3799,N MACGREGOR WAY,-
Burglary,Apartment,5000-5099,CALHOUN RD,RD
Rape,Apartment,7400-7499,WAYSIDE APT,-
Aggravated Assault,"Road, Street, or Sidewalk",3600-3699,WENTWORTH,ST
Burglary,Bar or Night Club,3300-3399,RALEIGH,-
Aggravated Assault,"Road, Street, or Sidewalk",8200-8299,ST LO,-
Theft,Driveway,4500-4599,TRAVIS ST 3301,-
Aggravated Assault,Other Parking Lot,13600-13699,BEECHNUT,ST
Theft,Commercial Parking Lot or Garage,5200-5299,CALHOUN RD,RD
Burglary,Apartment,3500-3599,N MACGREGOR WAY,-
Burglary,Residence or House,3100-3199,ROSEDALE,-
Aggravated Assault,Apartment,6400-6499,DEL RIO ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",14200-14299,DREAMSCAPE,CIR
Theft,Service or Gas Station,UNK,ANYWHERE HOUSTON,-
Theft,Other Parking Lot,5200-5299,CALHOUN RD,RD
Theft,Driveway,3600-3699,WENTWORTH ST,ST
Theft,Service or Gas Station,6600-6699,SOUTH FWY,-
Burglary,Residence or House,2300-2399,WICHITA ST,ST
Theft,Bar or Night Club Parking Lot,4100-4199,GRIGGS RD,RD
Theft,"Road, Street, or Sidewalk",800-899,DERBY LANE,-
Theft,Residence or House,3500-3599,N MACGREGOR WAY,-
Theft,"Road, Street, or Sidewalk",3300-3399,OLD SPANISH TRL,-
Aggravated Assault,Apartment,5900-5999,ARDMORE ST,ST
Burglary,Apartment,3700-3799,SOUTHMORE BLVD,BLVD
Burglary,Residence or House,1700-1799,CARRIAGE RUN,CT
Theft,Restaurant or Cafeteria,2300-2399,SOUTHMORE,-
AutoTheft,"Road, Street, or Sidewalk",4400-4499,DOWLING ST,ST
Aggravated Assault,Apartment,3700-3799,SOUTHMORE BLVD,BLVD
Aggravated Assault,Residence or House,3200-3299,EWING ST,ST
AutoTheft,"Parks and Recreation, Zoo, Swimming Pool",5100-5199,HIGGINS,ST
Theft,"Parks and Recreation, Zoo, Swimming Pool",5200-5299,CALHOUN RD,RD
Theft,Residence or House,5300-5399,PALMER,-
AutoTheft,Driveway,4300-4399,LAUREL DR,-
Burglary,Apartment,2700-2799,RUTH,ST
Theft,"Road, Street, or Sidewalk",3300-3399,DIXIE DR,-
Theft,"Road, Street, or Sidewalk",4400-4499,PO BOX 106169,-
Burglary,Apartment,5500-5599,SAMPSON,-
Theft,"Road, Street, or Sidewalk",3700-3799,PARKWOOD DR,-
AutoTheft,"Road, Street, or Sidewalk",2800-2899,ARBOR ST,ST
Theft,"Parks and Recreation, Zoo, Swimming Pool",5200-5299,CALHOUN RD,RD
Theft,Residence or House,2700-2799,WHEELER,-
Theft,"Road, Street, or Sidewalk",4600-4699,LIVE OAK,-
Aggravated Assault,Apartment,5900-5999,ARDMORE STREET APT 21,-
Burglary,Residence or House,5100-5199,DOWLING ST,ST
Theft,Residence or House,3500-3599,OZARK,-
Burglary,Residence or House,3400-3499,TAMPA,-
Rape,"Vacant Other Residential (Apartment,Dorms)",1500-1599,TAUB,LP
Theft,Bar or Night Club Parking Lot,6400-6499,PEERLESS,-
Burglary,"Vacant Other Residential (Apartment,Dorms)",2600-2699,WHEELER,AVE
Burglary,Residence or House,400-499,EMERSON APT 16,-
Robbery,Apartment,1500-1599,GEORGE,AVE
Theft,Driveway,5400-5499,ENNIS ST,ST
Theft,Driveway,2200-2299,ARBOR ST,ST
Theft,Convenience Store,3800-3899,OLD SPANISH,TRL
Aggravated Assault,Apartment,6200-6299,TIERWESTER,-
