Offense Type,Premise,BlockRange,StreetName,Type
Aggravated Assault,"Road, Street, or Sidewalk",3900-3999,ANITA,ST
Aggravated Assault,Apartment Parking Lot,3700-3799,TIERWESTER,-
Aggravated Assault,"Road, Street, or Sidewalk",2300-2399,ROBERTS,-
Aggravated Assault,Residence or House,3400-3499,NAPOLEON,-
Theft,Residence or House,3200-3299,REEVES,-
Auto Theft,Residence or House,2800-2899,WINBERN,-
Robbery,"Road, Street, or Sidewalk",2600-2699,LUCINDA,-
Aggravated Assault,"Laundry, Dry Cleaners, Washaterias",3100-3199,ALABAMA,ST
Aggravated Assault,Apartment Parking Lot,3300-3399,ALABAMA,ST
Aggravated Assault,Apartment,2900-2999,NAGLE,-
Burglary,Convenience Store,3800-3899,DELANO,-
Burglary,Residence or House,2800-2899,WINBERN,-
Burglary,Residence or House,3300-3399,ALABAMA,ST
Burglary,Miscellaneous Business (Non-Specific),3800-3899,DOWLING,ST
Theft,"Road, Street, or Sidewalk",3800-3899,TUAM,-
Aggravated Assault,Residence or House,2900-2999,ANITA,ST
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,TUAM,-
Theft,Service or Gas Station,2300-2399,FRANCIS,ST
Aggravated Assault,Residence or House,2300-2399,BURKETT,ST
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,NAGLE,-
Theft,Apartment Parking Lot,2800-2899,HADLEY,ST
Theft,Other Parking Lot,UNK,CALHOUN,RD
Burglary,"Road, Street, or Sidewalk",3100-3199,WEBSTER,ST
Auto Theft,"Road, Street, or Sidewalk",3800-3899,DOWLING,ST
Theft,Convenience Store,2700-2799,ALABAMA,ST
Theft,Residence or House,2800-2899,BERRY,ST
Theft,Bar or Night Club,2300-2399,PIERCE,ST
Burglary,Residence or House,2800-2899,TRUXILLO,-
Theft,"Parks and Recreation, Zoo, Swimming Pool",3800-3899,LIVE OAK,-
Aggravated Assault,Apartment Parking Lot,3200-3299,TRUXILLO,-
Aggravated Assault,Apartment,2900-2999,NAGLE,-
Aggravated Assault,"Road, Street, or Sidewalk",2700-2799,NAPOLEON,-
Robbery,"Road, Street, or Sidewalk",3400-3499,DENNIS,ST
Aggravated Assault,"Road, Street, or Sidewalk",3200-3299,MCGOWEN,ST
Robbery,"Road, Street, or Sidewalk",3800-3899,LIVE OAK,-
Burglary,Convenience Store,3300-3399,WINBERN,-
Theft,Residence or House,3500-3599,NAGLE,-
Theft,Light Rail (Metro Rail) Vehicle,3600-3699,ELGIN,ST
Burglary,Residence or House,3400-3499,TUAM,-
Aggravated Assault,Apartment,3300-3399,ALABAMA,ST
Theft,Apartment,3300-3399,ALABAMA,ST
Theft,"Road, Street, or Sidewalk",3200-3299,DENNIS,ST
Aggravated Assault,Apartment,3200-3299,TRUXILLO,-
Theft,Bar or Night Club,2300-2399,ELGIN,ST
Aggravated Assault,Apartment,3700-3799,BURKETT,ST
Aggravated Assault,Residence or House,3500-3599,DREW,ST
Theft,"Road, Street, or Sidewalk",2100-2199,WEBSTER,ST
Theft,Convenience Store Parking Lot,3500-3599,ELGIN,ST
Theft,Convenience Store,2800-2899,TUAM,-
Robbery,"Road, Street, or Sidewalk",3400-3499,WEBSTER,ST
Aggravated Assault,"Road, Street, or Sidewalk",2900-2999,SAUER,-
Auto Theft,Residence or House,3100-3199,LIVE OAK,-
Theft,Restaurant or Cafeteria Parking Lot,2300-2399,ALABAMA,ST
Robbery,Convenience Store Parking Lot,3500-3599,TIERWESTER,-
Aggravated Assault,"Road, Street, or Sidewalk",2600-2699,MCGOWEN,ST
Theft,"Road, Street, or Sidewalk",2000-2099,HUTCHINS,-
Robbery,"Road, Street, or Sidewalk",2500-2599,SCOTT,ST
Aggravated Assault,Residence or House,3600-3699,DREW,ST
Robbery,"Road, Street, or Sidewalk",3300-3399,ELGIN,ST
Theft,Residence or House,3400-3499,REEVES,-
Theft,Apartment Parking Lot,3300-3399,ALABAMA,ST
Aggravated Assault,Bus Stop,3000-3099,MCGOWEN,ST
Rape,Apartment,UNK,UNKNOWN,-
Robbery,"Road, Street, or Sidewalk",3400-3499,ROSALIE,-
Auto Theft,"Road, Street, or Sidewalk",2100-2199,MCGOWEN,ST
Auto Theft,Convenience Store,2800-2899,SCOTT,ST
Auto Theft,Strip Business Center Parking Lot,3000-3099,ALABAMA,ST
Robbery,Residence or House,3100-3199,HUTCHINS,-
Aggravated Assault,Apartment,3200-3299,TRUXILLO,-
Theft,Construction Site,2200-2299,FRANCIS,ST
Theft,Service or Gas Station,2400-2499,CULLEN,BLVD
Theft,Service or Gas Station,3500-3599,ELGIN,ST
Theft,Residence or House,3600-3699,BRILEY,ST
Aggravated Assault,"Vacant Single Occ Resd(House,Townhs,Dplex)",2400-2499,SAMPSON,-
Theft,Driveway,2800-2899,WINBERN,-
Robbery,Residence or House,3500-3599,ATTUCKS,ST
Theft,Restaurant or Cafeteria Parking Lot,2000-2099,GRAY,ST
Robbery,"Road, Street, or Sidewalk",3200-3299,ENNIS,ST
Rape,Residence or House,3200-3299,TRULLEY,-
Theft,Residence or House,3500-3599,PARKWOOD,DR
Robbery,Warehouse,3300-3399,DIXIE,DR
Theft,"Road, Street, or Sidewalk",3300-3399,DIXIE,DR
Theft,Residence or House,2700-2799,EAGLE,ST
Aggravated Assault,"Road, Street, or Sidewalk",6200-6299,TIERWESTER,-
Theft,"Road, Street, or Sidewalk",6500-6599,PEERLESS,-
Theft,"Road, Street, or Sidewalk",2400-2499,BLODGETT,ST
Theft,"Road, Street, or Sidewalk",4400-4499,DOWLING,ST
Burglary,Miscellaneous Business (Non-Specific),5200-5299,SCOTT,ST
Theft,Apartment Parking Lot,3600-3699,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",2900-2999,CLEBURNE,ST
Theft,"Road, Street, or Sidewalk",2500-2599,ROSEWOOD,-
Auto Theft,"Other, Unknown, or Not Listed",5200-5299,DOWLING,ST
Burglary,"Physician, Doctor, Dentist's Office",3600-3699,OLD SPANISH,TRL
Robbery,"Road, Street, or Sidewalk",2400-2499,SOUTHMORE,BLVD
Aggravated Assault,Restaurant or Cafeteria Parking Lot,3000-3099,ROSEDALE,-
Theft,Hotel or Motel Parking Lot,3300-3399,DIXIE,DR
Burglary,Miscellaneous Business (Non-Specific),4500-4599,OLD SPANISH,TRL
Theft,Restaurant or Cafeteria Parking Lot,4500-4599,OLD SPANISH,TRL
Rape,Residence or House,2500-2599,BINZ,ST
Aggravated Assault,"Road, Street, or Sidewalk",5700-5799,CULLEN,BLVD
Burglary,Residence or House,2800-2899,EAGLE,ST
Robbery,"Hotel, Motel, Inn, Etc.",3500-3599,SOUTHMORE,BLVD
Theft,"Road, Street, or Sidewalk",2400-2499,CLEBURNE,ST
Burglary,Apartment,2600-2699,ARBOR,ST
Burglary,Apartment,3700-3799,SOUTHMORE,BLVD
Theft,Commercial Building,3900-3999,OLD SPANISH,TRL
Burglary,"Physician, Doctor, Dentist's Office",4700-4799,ENNIS,ST
Theft,Residence or House,3800-3899,WENTWORTH,ST
Aggravated Assault,Bar or Night Club Parking Lot,6500-6599,PEERLESS,-
Robbery,Driveway,4000-4099,CHARLESTON,-
Burglary,Garage or Carport,2800-2899,RUTH,-
Theft,Apartment Parking Lot,3500-3599,CLEBURNE,ST
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",3300-3399,WENTWORTH,ST
Auto Theft,Apartment Parking Lot,5500-5599,SAMPSON,-
Robbery,"Road, Street, or Sidewalk",2400-2499,BLODGETT,ST
Theft,Apartment Parking Lot,3700-3799,SOUTHMORE,BLVD
Theft,Apartment,6400-6499,DEL RIO,ST
Aggravated Assault,Apartment,4400-4499,MACGREGOR,WAY
Theft,Residence or House,4400-4499,MACGREGOR,WAY
Aggravated Assault,Bar or Night Club,3700-3799,GRIGGS,RD
Theft,"Road, Street, or Sidewalk",3300-3399,DIXIE,DR
Theft,Other Parking Lot,6500-6599,PEERLESS,-
Burglary,Apartment,3200-3299,ARBOR,ST
Theft,"Laundry, Dry Cleaners, Washaterias",5900-5999,SCOTT,ST
Theft,Residence or House,3200-3299,CHARLESTON,-
Auto Theft,Other Parking Lot,3200-3299,DIXIE,DR
Theft,"Road, Street, or Sidewalk",6500-6599,ALLEGHENY,ST
Theft,Convenience Store Parking Lot,3700-3799,OLD SPANISH,TRL
Aggravated Assault,"Road, Street, or Sidewalk",6200-6299,TIERWESTER,-
Theft,Bar or Night Club Parking Lot,4400-4499,DOWLING,ST
Theft,Bar or Night Club,2500-2599,SOUTHMORE,BLVD
Aggravated Assault,"Road, Street, or Sidewalk",2800-2899,RUTH,-
Theft,"Other, Unknown, or Not Listed",4400-4499,DOWLING,ST
Burglary,Residence or House,3200-3299,ARBOR,ST
Theft,Residence or House,2400-2499,WICHITA,ST
Theft,"Utility Company, Electric, Gas, Water",3200-3299,BLODGETT,ST
Robbery,Service or Gas Station,4300-4399,OLD SPANISH,TRL
Theft,Apartment,3500-3599,MACGREGOR,WAY
Burglary,Residence or House,3200-3299,ARBOR,ST
Theft,Apartment Parking Lot,5500-5599,SAMPSON,-
Auto Theft,"Road, Street, or Sidewalk",3600-3699,MACGREGOR,WAY
Aggravated Assault,"Road, Street, or Sidewalk",6200-6299,TIERWESTER,-
Theft,Apartment Parking Lot,6400-6499,DEL RIO,ST
Auto Theft,Service or Gas Station,4600-4699,SCOTT,ST
Theft,"Church, Synagogue, or Temple Parking Lot",4000-4099,GRIGGS,RD
Theft,Driveway,3100-3199,ROSEDALE,-
Theft,Restaurant or Cafeteria Parking Lot,3300-3399,HOLCOMBE,BLVD
Theft,Apartment Parking Lot,3100-3199,ARBOR,ST
Robbery,"Road, Street, or Sidewalk",4700-4799,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",2300-2399,ARBOR,ST
Theft,Residence or House,2300-2399,CLEBURNE,ST
Theft,Bar or Night Club Parking Lot,6500-6599,PEERLESS,-
Theft,Residence or House,2400-2499,BINZ,ST
Theft,Miscellaneous Business (Non-Specific),3600-3699,BLODGETT,ST
Theft,Driveway,2200-2299,WICHITA,ST
Robbery,Highway or Freeway,2300-2399,SOUTHMORE,BLVD
Theft,Elementary School,4800-4899,LA BRANCH,ST
Theft,Strip Business Center Parking Lot,5200-5299,DOWLING,ST
Theft,Residence or House,4000-4099,CHARLESTON,-
Burglary,Drug Store or Medical Supply,4700-4799,ENNIS,ST
Theft,Barber And Beauty Shops,5900-5999,SCOTT,ST
Theft,,3300-3399,DIXIE,DR
Theft,Residence or House,4400-4499,MACGREGOR,WAY
Theft,"Other, Unknown, or Not Listed",6600-6699,FANNIN,ST
Aggravated Assault,"Road, Street, or Sidewalk",7100-7199,ARDMORE,ST
Theft,Apartment,2300-2399,MACGREGOR,WAY
Theft,Hospital,6400-6499,FANNIN,-
Theft,Hospital Parking Lot,6700-6799,FANNIN,ST
Theft,Hospital Parking Lot,6600-6699,FANNIN,ST
Theft,Apartment Parking Lot,UNK,HERMANN PARK,CT
Theft,Apartment,UNK,HERMANN PARK,CT
Theft,Apartment Parking Lot,5900-5999,ALMEDA,RD
Auto Theft,Garage or Carport,UNK,HERMANN MUSEUM,CIR
Theft,Driveway,1400-1499,WHEELER,ST
Burglary,Grocery Store or Supermarket,3100-3199,OLD SPANISH,TRL
Robbery,"Road, Street, or Sidewalk",4800-4899,CHENEVERT,-
Theft,Bar or Night Club,5400-5499,ALMEDA,RD
