Offense Type,Premise,BlockRange,StreetName,Type
Theft,Apartment,3300-3399,ALABAMA,ST
Aggravated Assault,Residence or House,3500-3599,CANFIELD,ST
Theft,Apartment Parking Lot,3200-3299,TRUXILLO,-
Robbery,Convenience Store Parking Lot,2700-2799,ALABAMA,ST
Theft,Apartment Parking Lot,3500-3599,DREW,ST
Theft,University or College,4800-4899,CALHOUN,RD
Aggravated Assault,"Road, Street, or Sidewalk",3300-3399,TUAM,-
Robbery,"Road, Street, or Sidewalk",2600-2699,BRAILSFORT,-
Robbery,Restaurant or Cafeteria,3300-3399,SCOTT,ST
Theft,"Road, Street, or Sidewalk",3700-3799,SAMPSON,-
Aggravated Assault,Residence or House,3000-3099,ANITA,ST
Robbery,Convenience Store,2800-2899,ELGIN,ST
Burglary,Restaurant or Cafeteria,3800-3899,ENNIS,ST
Theft,"Road, Street, or Sidewalk",2400-2499,PIERCE,ST
Theft,"Road, Street, or Sidewalk",2700-2799,ALABAMA,ST
Auto Theft,Residence or House,3700-3799,BURKETT,ST
Robbery,Restaurant or Cafeteria Parking Lot,2500-2599,SOUTHMORE,BLVD
Theft,"Road, Street, or Sidewalk",2700-2799,WICHITA,ST
Theft,Convenience Store Parking Lot,2300-2399,SOUTHMORE,BLVD
Theft,"Road, Street, or Sidewalk",3700-3799,CHARLESTON,-
Theft,"Road, Street, or Sidewalk",3700-3799,PARKWOOD,DR
Theft,Residence or House,2400-2499,BINZ,ST
Robbery,Convenience Store,2300-2399,SOUTHMORE,BLVD
Theft,Bar or Night Club Parking Lot,3300-3399,DIXIE,DR
Theft,Other Parking Lot,4400-4499,MACGREGOR,WAY
Burglary,Residence or House,3100-3199,ARBOR,ST
Theft,Other Parking Lot,3300-3399,DIXIE,DR
Theft,"Road, Street, or Sidewalk",2600-2699,BLODGETT,ST
Theft,"Vacant Single Occ Resd(House,Townhs,Dplex)",3700-3799,SOUTHMORE,BLVD
Theft,"Road, Street, or Sidewalk",4900-4999,DOWLING,ST
Theft,"Road, Street, or Sidewalk",2400-2499,ARBOR,ST
Auto Theft,"Road, Street, or Sidewalk",2700-2799,SOUTHMORE,BLVD
Theft,Bar or Night Club Parking Lot,4700-4799,DOWLING,ST
Robbery,"Road, Street, or Sidewalk",4400-4499,MACGREGOR,WAY
Theft,"Road, Street, or Sidewalk",2500-2599,BLODGETT,ST
Theft,"Road, Street, or Sidewalk",2300-2399,ARBOR,ST
Theft,"Road, Street, or Sidewalk",3500-3599,DIXIE,DR
Theft,"Parks and Recreation, Zoo, Swimming Pool",5100-5199,OLD SPANISH,TRL
Aggravated Assault,Apartment Parking Lot,4000-4099,GRIGGS,RD
Theft,"Parks and Recreation, Zoo, Swimming Pool",4800-4899,MACGREGOR,WAY
Theft,Liquor Store,3300-3399,DIXIE,DR
Burglary,Residence or House,3200-3299,ARBOR,ST
Theft,Driveway,2500-2599,ROSEWOOD,-
Aggravated Assault,Residence or House,2600-2699,CALUMET,ST
Robbery,Restaurant or Cafeteria,3600-3699,OLD SPANISH,TRL
Theft,Bar or Night Club Parking Lot,3300-3399,DIXIE,DR
Theft,"Road, Street, or Sidewalk",4700-4799,LIVE OAK,-
Aggravated Assault,Apartment,6200-6299,TIERWESTER,-
Theft,"Other, Unknown, or Not Listed",5400-5499,TIERWESTER,-
Auto Theft,Residence or House,2600-2699,OAKDALE,-
Theft,"Road, Street, or Sidewalk",2500-2599,CALUMET,ST
Aggravated Assault,Apartment,6200-6299,TIERWESTER,-
Robbery,Apartment Parking Lot,4400-4499,MACGREGOR,WAY
Burglary,Apartment,5500-5599,SAMPSON,-
Theft,Bar or Night Club Parking Lot,2400-2499,WENTWORTH,ST
Theft,Bar or Night Club Parking Lot,4600-4699,DOWLING,ST
Burglary,Apartment,3600-3699,MACGREGOR,WAY
Robbery,Restaurant or Cafeteria,2700-2799,BLODGETT,ST
Burglary,Residence or House,3300-3399,TAMPA,-
