Offense Type,Beat,Premise,BlockRange,StreetName,Type
AutoTheft,10H50,Grocery Store or Supermarket Parking Lot,19900-19999,BLACK PEARL,CT
Theft,10H50,Apartment Parking Lot,3100-3199,GRAY ST,ST
Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,SCOTT ST,ST
Burglary,10H50,Apartment,100-199,SAGE,-
Burglary,10H50,Residence or House,16800-16899,CITYVIEW PLACE APT 8,-
Robbery,10H50,"Road, Street, or Sidewalk",10300-10399,AVES STREET,-
Theft,10H50,Driveway,2300-2399,TRUXILLO,-
Theft,10H50,Residence or House,2600-2699,HOLMAN,-
Theft,10H50,"Road, Street, or Sidewalk",3100-3199,SAINT EMANUEL ST,ST
Aggravated Assault,10H50,Apartment Parking Lot,4000-4099,CORDER STREET,-
Theft,10H50,Other Parking Lot,3200-3299,TRUXILLO,-
Rape,10H50,"Other, Unknown, or Not Listed",3700-3799,HOMELESS,-
Theft,10H50,"Road, Street, or Sidewalk",3900-3999,DOWLING ST,ST
Theft,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",2200-2299,SAINT EMANUEL ST,ST
Theft,10H50,Hospital Parking Lot,5100-5199,TAUB LOOP,-
Theft,10H50,Other Parking Lot,2400-2499,FRANCIS ST,ST
Burglary,10H50,Residence or House,3200-3299,PO BOX 36621,-
Aggravated Assault,10H50,Residence or House,3700-3799,MCGOWEN,ST
Theft,10H50,Residence or House,3400-3499,MCILHENNY,ST
AutoTheft,10H50,"Road, Street, or Sidewalk",2000-2099,TUAM,-
AutoTheft,10H50,"Road, Street, or Sidewalk",2200-2299,HOLMAN,-
Theft,10H50,Driveway,2700-2799,NAPOLEON,-
Aggravated Assault,10H50,Residence or House,3800-3899,ANITA ST,ST
Burglary,10H50,Residence or House,6300-6399,LYNDHURST,ST
Theft,10H50,"Road, Street, or Sidewalk",3800-3899,ROSALIE,-
Burglary,10H50,Maintenance or Building Services,4600-4699,HOWARD LANE - SUITE 200,-
Theft,10H50,"Road, Street, or Sidewalk",3400-3499,SCOTT ST,ST
Theft,10H50,"Road, Street, or Sidewalk",3500-3599,ANITA,ST
AutoTheft,10H50,"Road, Street, or Sidewalk",3800-3899,HOLMAN,-
Theft,10H50,Residence or House,3000-3099,ROSALIE,-
Aggravated Assault,10H50,Residence or House,3300-3399,FRANCIS,ST
Aggravated Assault,10H50,"Road, Street, or Sidewalk",4000-4099,BARBERRY,DR
Aggravated Assault,10H50,"Hotel, Motel, Inn, Etc.",2500-2599,SAMPSON,-
Robbery,10H50,Restaurant or Cafeteria,3700-3799,SCOTT ST,ST
Theft,10H50,Residence or House,3400-3499,DELANO,-
Aggravated Assault,10H50,"Road, Street, or Sidewalk",4700-4799,WENDA,ST
Robbery,10H50,"Road, Street, or Sidewalk",3400-3499,2 TRULLEY,-
Theft,10H50,"Road, Street, or Sidewalk",2500-2599,SOUTHERNLAND,-
Theft,10H50,Residence or House,3700-3799,BRILL,ST
Aggravated Assault,10H50,"Road, Street, or Sidewalk",4300-4399,MALLOW ST APT 1B,-
Theft,10H50,Residence or House,3800-3899,SCOTT ST,ST
Aggravated Assault,10H50,"Road, Street, or Sidewalk",3300-3399,HOLMAN,-
Robbery,10H50,Apartment,3200-3299,MCGOWEN ST,ST
Theft,10H50,Service or Gas Station,3500-3599,ELGIN ST,ST
AutoTheft,10H50,Convenience Store Parking Lot,3000-3099,KAINER MEADOWS LANE,-
Burglary,10H50,Residence or House,2700-2799,TRUXILLO,-
Theft,10H50,Bus Stop,2700-2799,SCOTT ST,ST
Theft,10H60,Apartment Parking Lot,UNK,ANYWHERE HOUSTON,-
Theft,10H60,Bar or Night Club,6500-6599,PEERLESS,-
Theft,10H60,Bar or Night Club Parking Lot,12900-12999,BRANT ROCK,DR
AutoTheft,10H60,Driveway,4300-4399,MACGREGOR WAY,-
Burglary,10H60,Apartment,3800-3899,CANFIELD ST,ST
AutoTheft,10H60,"Road, Street, or Sidewalk",6200-6299,BOWLING GREEN ST,ST
Aggravated Assault,10H60,"Road, Street, or Sidewalk",4400-4499,DOWLING ST,ST
Theft,10H60,Other Parking Lot,4400-4499,OLD SPANISH TRL,-
Theft,10H60,Bar or Night Club Parking Lot,4700-4799,DOWLING ST,ST
Theft,10H60,Apartment,3700-3799,SOUTHMORE BLVD,BLVD
AutoTheft,10H60,Apartment Parking Lot,2600-2699,S CALUMET ST,ST
Theft,10H60,Apartment Parking Lot,4400-4499,S MACGREGOR WAY,-
Burglary,10H60,Apartment,3600-3699,SOUTHMORE BLVD,BLVD
Theft,10H60,Bar or Night Club,6500-6599,BELCREST,ST
Theft,10H60,Apartment Parking Lot,6400-6499,DEL RIO ST,ST
Theft,10H60,Residence or House,3800-3899,WICHITA ST,ST
Theft,10H60,Apartment Parking Lot,4400-4499,N MACGREGOR WAY,-
AutoTheft,10H60,"Road, Street, or Sidewalk",2400-2499,WENTWORTH ST,ST
Theft,10H60,"Road, Street, or Sidewalk",12300-12399,GESSNER,RD
Theft,10H60,"Road, Street, or Sidewalk",3500-3599,DIXIE DR,-
Theft,10H60,"Road, Street, or Sidewalk",11500-11599,HOMESTEAD,RD
Theft,10H60,Commercial Parking Lot or Garage,3300-3399,RALEIGH,-
AutoTheft,10H60,Apartment,4600-4699,OLD SPANISH TRL,-
Theft,10H60,Apartment Parking Lot,4400-4499,N.MACGREGOR,-
Burglary,10H60,"Vacant Other Residential (Apartment,Dorms)",2300-2399,WICHITA ST,ST
AutoTheft,10H60,Driveway,2200-2299,WHEELER ST,ST
Theft,10H60,Apartment,3700-3799,SOUTHMORE 13,-
Robbery,10H60,"Church, Synagogue, or Temple Parking Lot",5000-5099,CALHOUN RD,RD
Aggravated Assault,10H60,"Road, Street, or Sidewalk",2600-2699,SOUTHMORE BLVD,BLVD
Aggravated Assault,10H60,Apartment,8900-8999,GLENCREST APT 7112,-
Burglary,10H60,Residence or House,2400-2499,OAKDALE,-
Theft,10H60,Driveway,4300-4399,FERNWOOD CT,-
Theft,10H60,"Road, Street, or Sidewalk",4000-4099,GLEN COVE DR,-
Theft,10H60,Driveway,4300-4399,CHARLESTON,-
Theft,10H60,Residence or House,4000-4099,GLEN COVE DR,-
AutoTheft,10H60,"Road, Street, or Sidewalk",400-499,RIDGE,DR
Theft,10H60,Residence or House,4100-4199,CHARLESTON,-
Theft,10H60,Drug Store or Medical Supply,800-899,AVE A,-
Theft,10H60,"Other, Unknown, or Not Listed",2200-2299,BARBEE ST,ST
Theft,10H60,"Road, Street, or Sidewalk",6400-6499,DEL RIO ST,ST
Theft,10H60,"Road, Street, or Sidewalk",6400-6499,DEL RIO ST,ST
Theft,10H60,Service or Gas Station,25300-25399,BIXBY ROAD,-
Theft,10H60,Convenience Store,800-899,AMARYLLIS,RD
AutoTheft,10H60,"Road, Street, or Sidewalk",4700-4799,DOWLING ST,ST
Robbery,10H60,Service or Gas Station,2300-2399,SOUTHMORE,BLVD
Theft,10H60,"Road, Street, or Sidewalk",4900-4999,OLD SPANISH TRL,-
Theft,10H60,"Road, Street, or Sidewalk",2400-2499,FLICKERING LEAF,LN
AutoTheft,10H60,"Road, Street, or Sidewalk",6500-6599,DEL RIO ST,ST
Theft,10H60,"Road, Street, or Sidewalk",3200-3299,DIXIE DR,-
AutoTheft,10H60,"Church, Synagogue, or Temple Parking Lot",6100-6199,ANDOVER HILLS,CT
Aggravated Assault,10H60,Apartment,3500-3599,N MACGREGOR WAY,-
Theft,10H60,"Other, Unknown, or Not Listed",3300-3399,KILGORE ST,ST
AutoTheft,10H60,"Road, Street, or Sidewalk",2600-2699,PROSPECT,-
Theft,10H60,Driveway,2400-2499,CALUMET ST,ST
Theft,10H60,"Road, Street, or Sidewalk",2300-2399,BLODGETT ST,ST
Robbery,10H60,Driveway,2500-2599,CLEBURNE ST,ST
Theft,10H60,Apartment Parking Lot,6400-6499,DEL RIO ST,ST
Theft,10H60,"Road, Street, or Sidewalk",6400-6499,DEL RIO ST,ST
Aggravated Assault,10H60,Service or Gas Station,6500-6599,PEERLESS,-
Theft,10H60,"Road, Street, or Sidewalk",3500-3599,GRIGGS RD,RD
Theft,10H60,"Road, Street, or Sidewalk",3500-3599,DIXIE DR,-
Theft,10H60,"Road, Street, or Sidewalk",3500-3599,DIXIE DR,-
Theft,10H60,"Road, Street, or Sidewalk",18500-18599,SPINNEY LN,DR
Theft,10H60,"Road, Street, or Sidewalk",2300-2399,ARBOR ST,ST
Theft,10H60,"Road, Street, or Sidewalk",2300-2399,ARBOR ST,ST
Theft,10H60,"Road, Street, or Sidewalk",3500-3599,DIXIE DR,-
AutoTheft,10H60,"Road, Street, or Sidewalk",2300-2399,BLODGETT ST,ST
Theft,10H60,"Road, Street, or Sidewalk",2200-2299,WENTWORTH ST,ST
