Offense Type,Premise,BlockRange,StreetName,Type
Robbery,"Road, Street, or Sidewalk",2000-2099,MAIN ST,ST
Aggravated Assault,"Field, Woods, Forest, Park",4200-4299,SAN JACINTO ST,ST
AutoTheft,Commercial Parking Lot or Garage,8600-8699,MEMORIAL,DR
Burglary,"Multi-Plex Home (Duplex,Triplex Etc.)",1500-1599,ISABELLA,-
Burglary,Office Building,3300-3399,MAIN ST,ST
Robbery,"Road, Street, or Sidewalk",3300-3399,AUSTIN ST,ST
Aggravated Assault,Apartment,4900-4999,MONTROSE,BLVD
Aggravated Assault,"Road, Street, or Sidewalk",4300-4399,HOMELESS,-
Aggravated Assault,Residence or House,3600-3699,ANITA ST,ST
Murder,"Road, Street, or Sidewalk",3000-3099,TRULLEY,-
Theft,Service or Gas Station,3500-3599,ELGIN ST,ST
AutoTheft,Residence or House,2800-2899,BERRY ST,ST
Theft,Apartment Parking Lot,3200-3299,TRUXILLO,-
AutoTheft,Miscellaneous Business (Non-Specific),2600-2699,ALABAMA ST,ST
Aggravated Assault,Apartment,3300-3399,SIMMONS,-
Aggravated Assault,"Road, Street, or Sidewalk",2100-2199,TRUXILLO,-
Robbery,"Road, Street, or Sidewalk",3000-3099,EMANCIPATION AVE,-
Aggravated Assault,Hotel or Motel Parking Lot,2600-2699,CALUMET,CT
Robbery,Bus Station,3400-3499,MCGOWEN ST,ST
Burglary,Residence or House,3000-3099,NAGLE,-
Robbery,"Road, Street, or Sidewalk",2500-2599,ELGIN ST,ST
Theft,Restaurant or Cafeteria Parking Lot,3700-3799,EMANCIPATION AVE,-
Aggravated Assault,"Road, Street, or Sidewalk",3400-3499,DREW ST,ST
Aggravated Assault,"Road, Street, or Sidewalk",2600-2699,NAPOLEON,-
Aggravated Assault,Residence or House,3700-3799,DREW,ST
Burglary,"Vacant Single Occ Resd(House,Townhs,Dplex)",2300-2399,TRUXILLO,-
Aggravated Assault,Apartment Parking Lot,3900-3999,TUAM ST APT A,-
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,DREW ST,ST
Theft,Residence or House,3500-3599,SAINT EMANUEL ST,ST
AutoTheft,"Field, Woods, Forest, Park",2800-2899,MCGREGOR,WAY
Aggravated Assault,Residence or House,3200-3299,BEULAH,ST
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,TIERWESTER,-
Aggravated Assault,"Road, Street, or Sidewalk",3200-3299,TRUXILLO,-
Theft,"Other, Unknown, or Not Listed",3000-3099,MCGOWEN ST,ST
AutoTheft,"Road, Street, or Sidewalk",2000-2099,MCGOWEN ST,ST
Theft,Construction Site,2400-2499,TRUXILLO,-
Theft,"Road, Street, or Sidewalk",3000-3099,SAMPSON,-
Aggravated Assault,Convenience Store,3200-3299,TRUXILLO,-
Theft,Residence or House,2900-2999,SAUER,-
Theft,"Road, Street, or Sidewalk",3900-3999,SCOTT,ST
Theft,Residence or House,600-699,WALKER,ST
Robbery,"Hotel, Motel, Inn, Etc.",2600-2699,CALUMET,CT
Robbery,"Road, Street, or Sidewalk",3500-3599,ELGIN ST,ST
Aggravated Assault,Apartment,3200-3299,TRUXILLO,-
Aggravated Assault,"Road, Street, or Sidewalk",3500-3599,TUAM,-
Robbery,Residence or House,3200-3299,DELANO,-
Aggravated Assault,Residence or House,2200-2299,ISABELLA,-
Theft,"Road, Street, or Sidewalk",19500-19599,NORTH OBLONG CIRCLE,-
Burglary,Residence or House,3000-3099,WEBSTER ST,ST
Robbery,Convenience Store,9100-9199,PARKETTE,DR
Robbery,"Road, Street, or Sidewalk",2500-2599,LAZY HOLLOW,DR
